frame_id,camera_id,timestamp,face_id,entity_id,confidence,bounding_box
FRAME_000017,CAM_LIB_ENT,2025-10-01T08:16:17.208Z,F100407,E100407,0.87,"{""x"":360,""y"":250,""width"":109,""height"":123}"
FRAME_000018,CAM_LIB_ENT,2025-10-24T09:25:39.208Z,F100017,E100017,0.97,"{""x"":141,""y"":243,""width"":100,""height"":108}"
FRAME_000019,CAM_CAF_01,2025-10-24T05:21:09.208Z,F100633,E100633,0.83,"{""x"":165,""y"":358,""width"":128,""height"":151}"
FRAME_000020,CAM_CAF_01,2025-10-22T20:44:06.208Z,F100816,E100816,0.98,"{""x"":418,""y"":219,""width"":118,""height"":174}"
FRAME_000021,CAM_CAF_01,2025-09-28T07:27:54.208Z,F100837,E100837,0.87,"{""x"":188,""y"":165,""width"":133,""height"":158}"
FRAME_000022,CAM_LAB_CORR,2025-10-20T08:54:34.208Z,F100924,E100924,0.89,"{""x"":300,""y"":160,""width"":145,""height"":144}"
FRAME_000023,CAM_AC_MAIN,2025-10-17T08:11:27.208Z,F100048,E100048,0.88,"{""x"":416,""y"":244,""width"":110,""height"":132}"
FRAME_000024,CAM_ADMIN_LOBBY,2025-10-03T05:19:57.208Z,F100592,E100592,0.92,"{""x"":466,""y"":359,""width"":85,""height"":169}"
FRAME_000025,CAM_CAF_01,2025-10-09T06:20:17.208Z,F100487,E100487,0.99,"{""x"":110,""y"":219,""width"":100,""height"":116}"
FRAME_000026,CAM_GYM_ENT,2025-10-03T10:58:57.208Z,F100452,E100452,0.79,"{""x"":420,""y"":145,""width"":103,""height"":139}"
FRAME_000027,CAM_LIB_ENT,2025-10-11T11:24:22.208Z,F100987,E100987,0.88,"{""x"":335,""y"":148,""width"":107,""height"":156}"
FRAME_000028,CAM_AC_MAIN,2025-10-21T05:37:30.208Z,F100895,E100895,0.84,"{""x"":232,""y"":218,""width"":113,""height"":147}"
FRAME_000029,CAM_GYM_ENT,2025-10-01T10:38:49.208Z,F100236,E100236,0.92,"{""x"":266,""y"":160,""width"":80,""height"":145}"
FRAME_000030,CAM_ADMIN_LOBBY,2025-10-07T10:01:13.208Z,F100289,E100289,0.97,"{""x"":180,""y"":304,""width"":115,""height"":172}"
FRAME_000031,CAM_AC_MAIN,2025-10-06T05:35:31.208Z,F100786,E100786,0.89,"{""x"":315,""y"":196,""width"":130,""height"":171}"
FRAME_000032,CAM_PARKING,2025-10-20T18:20:56.208Z,F100649,E100649,0.7,"{""x"":489,""y"":253,""width"":87,""height"":115}"
FRAME_000033,CAM_HOSTEL_A,2025-10-17T07:35:26.208Z,F100087,E100087,0.96,"{""x"":499,""y"":310,""width"":108,""height"":180}"
FRAME_000034,CAM_HOSTEL_A,2025-10-12T14:53:17.208Z,F100437,E100437,0.98,"{""x"":475,""y"":306,""width"":92,""height"":174}"
FRAME_000035,CAM_HOSTEL_A,2025-10-01T18:12:55.208Z,F100733,E100733,0.72,"{""x"":229,""y"":274,""width"":119,""height"":123}"
FRAME_000036,CAM_HOSTEL_A,2025-10-17T12:29:38.208Z,F100394,E100394,0.71,"{""x"":202,""y"":393,""width"":106,""height"":105}"
FRAME_000037,CAM_ADMIN_LOBBY,2025-09-25T10:17:40.208Z,F100533,E100533,0.93,"{""x"":153,""y"":180,""width"":142,""height"":150}"
FRAME_000038,CAM_PARKING,2025-10-05T17:02:03.208Z,F100093,E100093,0.7,"{""x"":143,""y"":353,""width"":85,""height"":141}"
FRAME_000039,CAM_CAF_01,2025-10-09T15:51:47.208Z,F100205,E100205,0.87,"{""x"":327,""y"":155,""width"":89,""height"":128}"
FRAME_000040,CAM_LIB_ENT,2025-10-16T17:43:52.208Z,F100150,E100150,0.85,"{""x"":214,""y"":371,""width"":116,""height"":145}"
FRAME_000041,CAM_LIB_ENT,2025-10-23T17:31:42.208Z,F100704,E100704,0.7,"{""x"":148,""y"":104,""width"":93,""height"":126}"
FRAME_000042,CAM_CAF_01,2025-10-19T06:52:19.208Z,F100089,E100089,0.74,"{""x"":365,""y"":318,""width"":88,""height"":109}"
FRAME_000043,CAM_HOSTEL_A,2025-10-04T17:44:04.208Z,F100450,E100450,0.75,"{""x"":185,""y"":292,""width"":114,""height"":157}"
FRAME_000044,CAM_HOSTEL_A,2025-10-13T03:10:54.208Z,F100848,E100848,0.95,"{""x"":244,""y"":156,""width"":102,""height"":155}"
FRAME_000045,CAM_CAF_01,2025-10-15T08:16:28.208Z,F100943,E100943,0.82,"{""x"":404,""y"":390,""width"":110,""height"":130}"
FRAME_000046,CAM_GYM_ENT,2025-10-07T05:42:40.208Z,F100036,E100036,0.73,"{""x"":293,""y"":293,""width"":86,""height"":127}"
FRAME_000047,CAM_ADMIN_LOBBY,2025-10-01T03:54:19.208Z,F100580,E100580,0.83,"{""x"":350,""y"":192,""width"":127,""height"":112}"
FRAME_000048,CAM_GYM_ENT,2025-10-02T09:01:59.208Z,F100789,E100789,0.79,"{""x"":482,""y"":133,""width"":122,""height"":144}"
FRAME_000049,CAM_PARKING,2025-10-20T04:36:44.208Z,F100713,E100713,0.76,"{""x"":202,""y"":234,""width"":94,""height"":167}"
FRAME_000050,CAM_PARKING,2025-10-16T15:49:24.208Z,F100396,E100396,0.97,"{""x"":119,""y"":101,""width"":85,""height"":165}"
FRAME_000051,CAM_HOSTEL_A,2025-10-24T01:23:11.208Z,F100220,E100220,0.9,"{""x"":368,""y"":211,""width"":148,""height"":107}"
FRAME_000052,CAM_ADMIN_LOBBY,2025-10-15T06:11:31.208Z,F100667,E100667,0.99,"{""x"":364,""y"":193,""width"":123,""height"":166}"
FRAME_000053,CAM_ADMIN_LOBBY,2025-10-08T07:45:58.208Z,F100228,E100228,0.95,"{""x"":121,""y"":298,""width"":123,""height"":179}"
FRAME_000054,CAM_PARKING,2025-10-17T13:04:56.208Z,F100745,E100745,0.77,"{""x"":331,""y"":114,""width"":135,""height"":145}"
FRAME_000055,CAM_PARKING,2025-10-01T15:54:41.208Z,F100493,E100493,0.95,"{""x"":496,""y"":362,""width"":98,""height"":114}"
FRAME_000056,CAM_PARKING,2025-10-21T08:42:03.208Z,F100032,E100032,0.86,"{""x"":177,""y"":246,""width"":118,""height"":111}"
FRAME_000057,CAM_AC_MAIN,2025-10-19T13:05:41.208Z,F100450,E100450,0.88,"{""x"":260,""y"":187,""width"":102,""height"":172}"
FRAME_000058,CAM_ADMIN_LOBBY,2025-09-25T04:54:26.208Z,F100916,E100916,0.81,"{""x"":270,""y"":369,""width"":116,""height"":154}"
FRAME_000059,CAM_HOSTEL_A,2025-10-16T15:54:53.208Z,F100487,E100487,0.91,"{""x"":447,""y"":310,""width"":122,""height"":123}"
FRAME_000060,CAM_AC_MAIN,2025-09-27T10:41:43.208Z,F100478,E100478,0.82,"{""x"":223,""y"":261,""width"":94,""height"":179}"
FRAME_000061,CAM_ADMIN_LOBBY,2025-10-16T06:20:19.208Z,F100181,E100181,0.79,"{""x"":157,""y"":335,""width"":148,""height"":141}"
FRAME_000062,CAM_LIB_ENT,2025-10-16T02:55:24.208Z,F100852,E100852,0.93,"{""x"":385,""y"":291,""width"":111,""height"":139}"
FRAME_000063,CAM_AC_MAIN,2025-10-06T02:53:42.208Z,F100514,E100514,0.82,"{""x"":332,""y"":284,""width"":136,""height"":175}"
FRAME_000064,CAM_LIB_ENT,2025-10-15T08:51:29.208Z,F100183,E100183,0.87,"{""x"":196,""y"":156,""width"":102,""height"":135}"
FRAME_000065,CAM_LIB_ENT,2025-10-14T10:29:13.208Z,F100572,E100572,0.99,"{""x"":362,""y"":142,""width"":87,""height"":100}"
FRAME_000066,CAM_HOSTEL_A,2025-10-12T05:08:23.208Z,F100503,E100503,0.81,"{""x"":189,""y"":350,""width"":91,""height"":121}"
FRAME_000067,CAM_LAB_CORR,2025-10-17T11:38:07.208Z,F100165,E100165,0.72,"{""x"":181,""y"":340,""width"":83,""height"":138}"
FRAME_000068,CAM_AC_MAIN,2025-10-19T14:56:30.208Z,F100080,E100080,0.88,"{""x"":427,""y"":195,""width"":92,""height"":107}"
FRAME_000069,CAM_AC_MAIN,2025-10-03T04:35:23.208Z,F100859,E100859,0.81,"{""x"":382,""y"":213,""width"":106,""height"":144}"
FRAME_000070,CAM_LIB_ENT,2025-10-15T04:43:40.208Z,F100331,E100331,0.92,"{""x"":112,""y"":207,""width"":82,""height"":117}"
FRAME_000071,CAM_PARKING,2025-10-17T09:03:39.208Z,F100789,E100789,0.83,"{""x"":212,""y"":193,""width"":123,""height"":175}"
FRAME_000072,CAM_PARKING,2025-10-24T07:35:20.208Z,F100021,E100021,0.72,"{""x"":420,""y"":194,""width"":125,""height"":161}"
FRAME_000073,CAM_LIB_ENT,2025-10-04T17:50:08.208Z,F100072,E100072,0.76,"{""x"":153,""y"":347,""width"":124,""height"":114}"
FRAME_000074,CAM_LIB_ENT,2025-10-15T13:30:44.208Z,F100762,E100762,0.81,"{""x"":487,""y"":355,""width"":137,""height"":129}"
FRAME_000075,CAM_PARKING,2025-09-26T03:07:24.208Z,F100358,E100358,0.95,"{""x"":389,""y"":279,""width"":94,""height"":165}"
FRAME_000076,CAM_LIB_ENT,2025-10-11T09:08:20.208Z,F100338,E100338,0.79,"{""x"":112,""y"":190,""width"":134,""height"":143}"
FRAME_000077,CAM_LIB_ENT,2025-10-06T11:53:18.209Z,F100982,E100982,0.85,"{""x"":219,""y"":160,""width"":87,""height"":152}"
FRAME_000078,CAM_PARKING,2025-10-15T18:15:03.209Z,F100455,E100455,0.7,"{""x"":390,""y"":161,""width"":88,""height"":106}"
FRAME_000079,CAM_CAF_01,2025-10-11T05:31:39.209Z,F100628,E100628,0.84,"{""x"":178,""y"":172,""width"":106,""height"":101}"
FRAME_000080,CAM_GYM_ENT,2025-10-18T06:03:20.209Z,F100147,E100147,0.98,"{""x"":420,""y"":181,""width"":122,""height"":157}"
FRAME_000081,CAM_PARKING,2025-10-14T10:25:59.209Z,F100846,E100846,0.7,"{""x"":108,""y"":367,""width"":99,""height"":104}"
FRAME_000082,CAM_PARKING,2025-10-14T10:23:27.209Z,F100174,E100174,0.85,"{""x"":168,""y"":247,""width"":136,""height"":131}"
FRAME_000083,CAM_HOSTEL_A,2025-09-27T15:03:19.209Z,F100234,E100234,0.89,"{""x"":220,""y"":119,""width"":129,""height"":105}"
FRAME_000084,CAM_LIB_ENT,2025-10-02T04:24:10.209Z,F100917,E100917,0.7,"{""x"":313,""y"":154,""width"":149,""height"":159}"
FRAME_000085,CAM_HOSTEL_A,2025-10-01T12:02:49.209Z,F100211,E100211,0.72,"{""x"":235,""y"":178,""width"":109,""height"":103}"
FRAME_000086,CAM_AC_MAIN,2025-10-22T06:40:39.209Z,F100304,E100304,0.72,"{""x"":101,""y"":114,""width"":138,""height"":159}"
FRAME_000087,CAM_CAF_01,2025-10-16T12:54:01.209Z,F100266,E100266,0.74,"{""x"":265,""y"":210,""width"":114,""height"":109}"
FRAME_000088,CAM_CAF_01,2025-10-21T14:59:22.209Z,F100549,E100549,0.94,"{""x"":389,""y"":318,""width"":97,""height"":174}"
FRAME_000089,CAM_AC_MAIN,2025-10-13T06:37:33.209Z,F100153,E100153,0.85,"{""x"":462,""y"":207,""width"":90,""height"":147}"
FRAME_000090,CAM_CAF_01,2025-10-21T14:08:21.209Z,F100055,E100055,0.71,"{""x"":304,""y"":287,""width"":101,""height"":137}"
FRAME_000091,CAM_GYM_ENT,2025-09-25T07:16:20.209Z,F100117,E100117,0.85,"{""x"":148,""y"":291,""width"":133,""height"":136}"
FRAME_000092,CAM_PARKING,2025-10-03T08:36:57.209Z,F100122,E100122,0.81,"{""x"":407,""y"":129,""width"":125,""height"":173}"
FRAME_000093,CAM_LIB_ENT,2025-10-22T04:34:11.209Z,F100074,E100074,0.78,"{""x"":428,""y"":205,""width"":147,""height"":162}"
FRAME_000094,CAM_AC_MAIN,2025-10-19T17:05:39.209Z,F100149,E100149,0.99,"{""x"":217,""y"":371,""width"":144,""height"":131}"
FRAME_000095,CAM_ADMIN_LOBBY,2025-10-03T15:01:50.209Z,F100099,E100099,0.77,"{""x"":461,""y"":105,""width"":128,""height"":113}"
FRAME_000096,CAM_AC_MAIN,2025-10-23T07:50:48.209Z,F100758,E100758,0.73,"{""x"":489,""y"":167,""width"":114,""height"":113}"
FRAME_000097,CAM_CAF_01,2025-10-04T12:45:12.209Z,F100457,E100457,0.83,"{""x"":422,""y"":345,""width"":87,""height"":113}"
FRAME_000098,CAM_AC_MAIN,2025-09-29T08:05:29.209Z,F100074,E100074,0.74,"{""x"":394,""y"":176,""width"":119,""height"":113}"
FRAME_000099,CAM_LAB_CORR,2025-10-04T06:05:49.209Z,F100938,E100938,0.72,"{""x"":356,""y"":141,""width"":146,""height"":107}"
FRAME_000100,CAM_GYM_ENT,2025-09-28T08:16:15.209Z,F100478,E100478,0.86,"{""x"":359,""y"":374,""width"":88,""height"":156}"
FRAME_000101,CAM_LAB_CORR,2025-10-24T12:52:07.209Z,F100412,E100412,0.91,"{""x"":207,""y"":284,""width"":81,""height"":140}"
FRAME_000102,CAM_AC_MAIN,2025-10-23T17:38:39.209Z,F100244,E100244,0.75,"{""x"":226,""y"":379,""width"":120,""height"":111}"
FRAME_000103,CAM_AC_MAIN,2025-10-10T03:56:11.209Z,F100109,E100109,0.9,"{""x"":385,""y"":102,""width"":145,""height"":131}"
FRAME_000104,CAM_GYM_ENT,2025-10-10T05:33:14.209Z,F100166,E100166,0.96,"{""x"":370,""y"":381,""width"":119,""height"":145}"
FRAME_000105,CAM_CAF_01,2025-10-23T11:12:28.209Z,F100976,E100976,0.8,"{""x"":359,""y"":269,""width"":95,""height"":151}"
FRAME_000106,CAM_HOSTEL_A,2025-09-26T17:51:41.209Z,F100121,E100121,0.77,"{""x"":428,""y"":108,""width"":120,""height"":118}"
FRAME_000107,CAM_AC_MAIN,2025-10-09T07:30:46.209Z,F100003,E100003,0.86,"{""x"":143,""y"":276,""width"":100,""height"":151}"
FRAME_000108,CAM_CAF_01,2025-10-19T09:50:22.209Z,F100336,E100336,0.87,"{""x"":173,""y"":318,""width"":82,""height"":148}"
FRAME_000109,CAM_PARKING,2025-10-02T16:30:43.209Z,F100578,E100578,0.77,"{""x"":235,""y"":352,""width"":105,""height"":155}"
FRAME_000110,CAM_HOSTEL_A,2025-09-25T18:07:02.209Z,F100078,E100078,0.76,"{""x"":439,""y"":288,""width"":128,""height"":137}"
FRAME_000111,CAM_ADMIN_LOBBY,2025-10-11T06:19:18.209Z,F100300,E100300,0.72,"{""x"":497,""y"":238,""width"":113,""height"":105}"
FRAME_000112,CAM_PARKING,2025-10-09T07:01:42.209Z,F100667,E100667,0.84,"{""x"":229,""y"":247,""width"":130,""height"":153}"
FRAME_000113,CAM_LIB_ENT,2025-09-29T07:34:22.209Z,F100012,E100012,0.73,"{""x"":469,""y"":195,""width"":144,""height"":126}"
FRAME_000114,CAM_PARKING,2025-10-17T11:39:43.209Z,F100245,E100245,0.74,"{""x"":412,""y"":148,""width"":146,""height"":107}"
FRAME_000115,CAM_ADMIN_LOBBY,2025-10-20T01:04:48.209Z,F100046,E100046,0.82,"{""x"":222,""y"":283,""width"":137,""height"":118}"
FRAME_000116,CAM_LAB_CORR,2025-10-15T14:15:32.209Z,F100202,E100202,0.82,"{""x"":499,""y"":101,""width"":97,""height"":153}"
FRAME_000117,CAM_CAF_01,2025-10-24T17:46:13.209Z,F100276,E100276,0.77,"{""x"":427,""y"":281,""width"":95,""height"":136}"
FRAME_000118,CAM_LAB_CORR,2025-09-28T12:59:10.209Z,F100958,E100958,0.77,"{""x"":157,""y"":141,""width"":116,""height"":179}"
FRAME_000119,CAM_LAB_CORR,2025-10-18T09:31:26.209Z,F100335,E100335,0.88,"{""x"":294,""y"":362,""width"":105,""height"":101}"
FRAME_000120,CAM_PARKING,2025-09-28T09:22:26.209Z,F100727,E100727,0.87,"{""x"":147,""y"":318,""width"":125,""height"":128}"
FRAME_000121,CAM_PARKING,2025-10-21T08:25:09.209Z,F100374,E100374,0.85,"{""x"":130,""y"":309,""width"":141,""height"":132}"
FRAME_000122,CAM_LAB_CORR,2025-10-13T08:49:47.209Z,F100319,E100319,0.8,"{""x"":246,""y"":319,""width"":85,""height"":120}"
FRAME_000123,CAM_ADMIN_LOBBY,2025-10-12T16:20:32.209Z,F100928,E100928,0.96,"{""x"":499,""y"":222,""width"":80,""height"":166}"
FRAME_000124,CAM_GYM_ENT,2025-09-27T16:14:45.209Z,F100268,E100268,0.88,"{""x"":415,""y"":271,""width"":101,""height"":137}"
FRAME_000125,CAM_PARKING,2025-10-17T07:25:54.209Z,F100378,E100378,0.83,"{""x"":232,""y"":165,""width"":108,""height"":133}"
FRAME_000126,CAM_CAF_01,2025-10-20T05:23:34.209Z,F100782,E100782,0.94,"{""x"":366,""y"":356,""width"":139,""height"":160}"
FRAME_000127,CAM_CAF_01,2025-09-29T08:57:54.209Z,F100216,E100216,0.84,"{""x"":266,""y"":209,""width"":149,""height"":130}"
FRAME_000128,CAM_AC_MAIN,2025-10-18T12:55:04.209Z,F100899,E100899,0.91,"{""x"":205,""y"":127,""width"":116,""height"":152}"
FRAME_000129,CAM_LAB_CORR,2025-09-29T07:41:47.209Z,F100877,E100877,0.76,"{""x"":408,""y"":347,""width"":129,""height"":141}"
FRAME_000130,CAM_LAB_CORR,2025-10-22T02:34:34.209Z,F100219,E100219,0.71,"{""x"":189,""y"":320,""width"":95,""height"":121}"
FRAME_000131,CAM_GYM_ENT,2025-09-26T18:11:55.209Z,F100862,E100862,0.71,"{""x"":241,""y"":397,""width"":95,""height"":139}"
FRAME_000132,CAM_HOSTEL_A,2025-10-23T09:34:13.209Z,F100246,E100246,0.76,"{""x"":270,""y"":312,""width"":109,""height"":133}"
FRAME_000133,CAM_CAF_01,2025-10-02T04:59:59.209Z,F100826,E100826,0.93,"{""x"":257,""y"":339,""width"":115,""height"":145}"
FRAME_000134,CAM_ADMIN_LOBBY,2025-09-30T10:35:16.209Z,F100891,E100891,0.84,"{""x"":305,""y"":302,""width"":143,""height"":111}"
FRAME_000135,CAM_LIB_ENT,2025-10-10T18:13:18.209Z,F100627,E100627,0.78,"{""x"":202,""y"":394,""width"":125,""height"":116}"
FRAME_000136,CAM_AC_MAIN,2025-09-25T03:52:26.209Z,F100531,E100531,0.86,"{""x"":422,""y"":320,""width"":136,""height"":132}"
FRAME_000137,CAM_AC_MAIN,2025-09-27T15:53:16.209Z,F100528,E100528,0.87,"{""x"":388,""y"":278,""width"":80,""height"":105}"
FRAME_000138,CAM_HOSTEL_A,2025-09-30T12:34:50.209Z,F100988,E100988,0.99,"{""x"":444,""y"":352,""width"":150,""height"":164}"
FRAME_000139,CAM_GYM_ENT,2025-10-16T17:43:11.209Z,F100711,E100711,0.98,"{""x"":170,""y"":391,""width"":82,""height"":179}"
FRAME_000140,CAM_ADMIN_LOBBY,2025-10-10T14:18:33.209Z,F100743,E100743,0.84,"{""x"":149,""y"":118,""width"":106,""height"":172}"
FRAME_000141,CAM_HOSTEL_A,2025-10-22T09:20:49.209Z,F100116,E100116,0.92,"{""x"":111,""y"":183,""width"":134,""height"":154}"
FRAME_000142,CAM_GYM_ENT,2025-09-30T07:00:16.209Z,F100170,E100170,0.88,"{""x"":103,""y"":267,""width"":145,""height"":145}"
FRAME_000143,CAM_PARKING,2025-09-27T06:03:20.209Z,F100551,E100551,0.89,"{""x"":207,""y"":203,""width"":150,""height"":128}"
FRAME_000144,CAM_ADMIN_LOBBY,2025-10-09T06:39:30.209Z,F100074,E100074,0.96,"{""x"":339,""y"":114,""width"":109,""height"":113}"
FRAME_000145,CAM_GYM_ENT,2025-10-10T17:06:37.209Z,F100954,E100954,0.97,"{""x"":266,""y"":372,""width"":97,""height"":151}"
FRAME_000146,CAM_PARKING,2025-10-18T16:11:40.209Z,F100465,E100465,0.78,"{""x"":126,""y"":213,""width"":125,""height"":111}"
FRAME_000147,CAM_ADMIN_LOBBY,2025-10-24T18:07:57.209Z,F100591,E100591,0.84,"{""x"":414,""y"":271,""width"":132,""height"":156}"
FRAME_000148,CAM_CAF_01,2025-10-16T09:55:36.209Z,F100577,E100577,0.77,"{""x"":104,""y"":266,""width"":150,""height"":133}"
FRAME_000149,CAM_ADMIN_LOBBY,2025-10-23T07:46:57.209Z,F100424,E100424,0.74,"{""x"":183,""y"":245,""width"":103,""height"":168}"
FRAME_000150,CAM_PARKING,2025-10-05T10:13:35.209Z,F100594,E100594,0.8,"{""x"":457,""y"":364,""width"":143,""height"":118}"
FRAME_000151,CAM_LAB_CORR,2025-10-13T14:17:32.209Z,F100707,E100707,0.72,"{""x"":404,""y"":299,""width"":123,""height"":154}"
FRAME_000152,CAM_CAF_01,2025-09-30T04:59:51.209Z,F100199,E100199,0.8,"{""x"":363,""y"":235,""width"":149,""height"":121}"
FRAME_000153,CAM_AC_MAIN,2025-10-21T14:14:44.209Z,F100414,E100414,0.99,"{""x"":265,""y"":308,""width"":145,""height"":130}"
FRAME_000154,CAM_ADMIN_LOBBY,2025-10-14T09:11:16.209Z,F100351,E100351,0.97,"{""x"":118,""y"":378,""width"":83,""height"":105}"
FRAME_000155,CAM_AC_MAIN,2025-10-21T03:30:35.209Z,F100888,E100888,0.7,"{""x"":460,""y"":387,""width"":113,""height"":140}"
FRAME_000156,CAM_GYM_ENT,2025-09-27T12:50:05.209Z,F100441,E100441,0.96,"{""x"":401,""y"":388,""width"":132,""height"":148}"
FRAME_000157,CAM_LAB_CORR,2025-10-05T10:46:59.209Z,F100894,E100894,0.99,"{""x"":473,""y"":326,""width"":97,""height"":124}"
FRAME_000158,CAM_GYM_ENT,2025-09-26T02:33:17.209Z,F100194,E100194,0.72,"{""x"":244,""y"":155,""width"":119,""height"":163}"
FRAME_000159,CAM_CAF_01,2025-09-30T05:12:01.209Z,F100607,E100607,0.7,"{""x"":155,""y"":104,""width"":123,""height"":147}"
FRAME_000160,CAM_CAF_01,2025-10-10T10:39:12.209Z,F100388,E100388,0.82,"{""x"":446,""y"":343,""width"":124,""height"":139}"
FRAME_000161,CAM_CAF_01,2025-10-15T09:29:12.209Z,F100327,E100327,0.82,"{""x"":164,""y"":349,""width"":112,""height"":122}"
FRAME_000162,CAM_LAB_CORR,2025-09-27T13:30:38.209Z,F100294,E100294,0.96,"{""x"":162,""y"":342,""width"":108,""height"":118}"
FRAME_000163,CAM_ADMIN_LOBBY,2025-10-02T09:17:55.209Z,F100059,E100059,0.82,"{""x"":473,""y"":138,""width"":87,""height"":155}"
FRAME_000164,CAM_HOSTEL_A,2025-10-16T06:24:11.209Z,F100138,E100138,0.91,"{""x"":264,""y"":113,""width"":102,""height"":130}"
FRAME_000165,CAM_ADMIN_LOBBY,2025-10-04T07:26:44.209Z,F100063,E100063,0.98,"{""x"":356,""y"":261,""width"":135,""height"":122}"
FRAME_000166,CAM_HOSTEL_A,2025-09-26T08:09:21.209Z,F100720,E100720,0.75,"{""x"":367,""y"":120,""width"":148,""height"":141}"
FRAME_000167,CAM_PARKING,2025-09-26T05:51:55.209Z,F100364,E100364,0.99,"{""x"":383,""y"":108,""width"":117,""height"":149}"
FRAME_000168,CAM_GYM_ENT,2025-10-23T02:49:25.209Z,F100820,E100820,0.88,"{""x"":153,""y"":295,""width"":104,""height"":145}"
FRAME_000169,CAM_LIB_ENT,2025-10-24T05:11:11.209Z,F100507,E100507,0.88,"{""x"":233,""y"":111,""width"":106,""height"":143}"
FRAME_000170,CAM_PARKING,2025-10-05T05:10:38.209Z,F100111,E100111,0.98,"{""x"":390,""y"":350,""width"":149,""height"":126}"
FRAME_000171,CAM_CAF_01,2025-09-27T14:21:17.209Z,F100942,E100942,0.8,"{""x"":239,""y"":229,""width"":117,""height"":169}"
FRAME_000172,CAM_PARKING,2025-09-27T06:57:06.209Z,F100150,E100150,0.94,"{""x"":465,""y"":244,""width"":136,""height"":141}"
FRAME_000173,CAM_GYM_ENT,2025-10-19T08:10:00.209Z,F100048,E100048,0.85,"{""x"":355,""y"":224,""width"":92,""height"":148}"
FRAME_000174,CAM_CAF_01,2025-10-12T07:52:55.209Z,F100238,E100238,0.95,"{""x"":446,""y"":158,""width"":102,""height"":172}"
FRAME_000175,CAM_AC_MAIN,2025-10-21T14:36:04.209Z,F100988,E100988,0.8,"{""x"":306,""y"":275,""width"":82,""height"":180}"
FRAME_000176,CAM_HOSTEL_A,2025-10-12T02:36:15.209Z,F100966,E100966,0.99,"{""x"":340,""y"":394,""width"":129,""height"":128}"
FRAME_000177,CAM_GYM_ENT,2025-10-19T00:54:21.209Z,F100775,E100775,0.73,"{""x"":424,""y"":294,""width"":80,""height"":172}"
FRAME_000178,CAM_CAF_01,2025-10-09T08:29:31.209Z,F100027,E100027,0.76,"{""x"":494,""y"":173,""width"":121,""height"":131}"
FRAME_000179,CAM_CAF_01,2025-10-19T03:21:58.209Z,F100439,E100439,0.82,"{""x"":106,""y"":360,""width"":90,""height"":171}"
FRAME_000180,CAM_ADMIN_LOBBY,2025-09-27T11:49:08.209Z,F100542,E100542,0.84,"{""x"":464,""y"":155,""width"":121,""height"":128}"
FRAME_000181,CAM_CAF_01,2025-10-06T03:13:51.209Z,F100567,E100567,0.86,"{""x"":147,""y"":345,""width"":103,""height"":162}"
