device_hash,ap_id,timestamp,entity_id,signal_strength,duration
DH7F819f96ecdC,AP_CC_1,2025-10-08T18:07:58.204Z,E100395,-68,5604
DH8AaEdfFFD7D6,AP_LAB_1,2025-10-14T13:50:13.204Z,E100486,-78,3974
DH7A81ECfA0cfF,AP_LAB_1,2025-10-07T09:14:59.204Z,E100479,-35,3336
DHadDa4DDcFD08,AP_LIB_1,2025-10-13T08:21:19.204Z,E100481,-47,2881
DHCB3ccBCcaBe7,AP_LIB_1,2025-10-23T02:30:43.204Z,E100606,-64,5483
DHEd3ecc7bd102,AP_LAB_2,2025-10-21T11:47:42.204Z,E100329,-76,3475
DHB9EC76944fae,AP_CC_1,2025-10-21T11:45:33.204Z,E100322,-64,3926
DHA0D0D7313C1B,AP_LAB_1,2025-10-20T07:30:25.204Z,E100485,-59,4630
DHDe82f2D9F0d8,AP_CAF_1,2025-10-06T17:14:12.204Z,E100567,-38,1984
DHbA9829a7Fcea,AP_CAF_2,2025-10-14T14:44:28.204Z,E100611,-49,6682
DH7F819f96ecdC,AP_AC_2,2025-10-23T09:38:14.204Z,E100395,-67,533
DH1Aa395B240aB,AP_CAF_2,2025-09-25T07:39:07.204Z,E100502,-46,5040
DH5B6f063785C6,AP_LAB_2,2025-09-29T03:57:08.204Z,E100701,-42,3565
DHAb12A22aC6a7,AP_CC_2,2025-10-24T09:12:45.204Z,E100429,-68,4886
DHaAacff3Eb03C,AP_CAF_1,2025-10-15T04:48:04.204Z,E100003,-74,7065
DHfFd8e9BEeA16,AP_GYM_1,2025-10-23T16:20:56.204Z,E100498,-74,6120
DHd4BECd63866f,AP_AC_1,2025-10-18T07:53:02.204Z,E100484,-74,5438
DH6CffA11CcB0D,AP_LIB_3,2025-10-18T04:30:36.204Z,E100805,-37,6929
DH239f5158C179,AP_LAB_2,2025-09-29T10:39:15.204Z,E100798,-57,7107
DH0CdBdEa61228,AP_LIB_3,2025-10-21T04:41:55.204Z,E100966,-40,3120
DHDBD8Cb9F9a7E,AP_CAF_1,2025-09-27T07:28:23.204Z,E100282,-42,1633
DHBd506A32231b,AP_LIB_2,2025-10-01T10:41:42.204Z,E100586,-44,2904
DH84b9ecbD6eDf,AP_CC_1,2025-10-02T17:12:57.204Z,E100436,-66,5509
DH5233051f0c56,AP_LAB_1,2025-10-24T09:37:00.204Z,E100797,-52,5336
DH4A3BeC2E529E,AP_AC_2,2025-10-08T17:37:59.204Z,E100006,-47,927
DHc23fDc0aFB81,AP_LAB_1,2025-09-27T15:21:46.204Z,E100954,-50,4006
DHE0A7442FCbCF,AP_CC_2,2025-10-15T02:47:40.204Z,E100319,-62,2258
DH6ebCAF71Ebbd,AP_GYM_1,2025-10-10T08:22:46.204Z,E100968,-30,5821
DHAb12A22aC6a7,AP_AC_2,2025-09-25T09:54:36.204Z,E100429,-76,2546
DHEcb94402E5A9,AP_LAB_1,2025-09-29T15:32:28.204Z,E100512,-56,3185
DHdFdB3c9Af36F,AP_LAB_1,2025-09-27T13:16:38.204Z,E100173,-47,1814
DHDE1ad7eeED4F,AP_AC_2,2025-09-28T09:42:15.204Z,E100666,-45,5341
DHe1Ea103a4Fad,AP_CAF_1,2025-10-04T03:54:16.204Z,E100876,-63,3874
DH3fD2b603f0BB,AP_CC_2,2025-09-26T13:09:46.204Z,E100082,-63,2825
DH5A12d2859eA7,AP_AC_2,2025-10-08T03:40:26.204Z,E100090,-70,3015
DHA7aD429e8D60,AP_AC_2,2025-10-07T15:53:47.204Z,E100058,-47,3572
DHABB2Fd41Df4f,AP_AC_1,2025-09-28T06:57:19.204Z,E100964,-37,6048
DH9259430ceE12,AP_GYM_1,2025-10-21T05:12:45.204Z,E100821,-51,5696
DH615cFC30a7D7,AP_CC_1,2025-10-04T06:14:45.204Z,E100770,-80,3562
DHb005f95eE5E4,AP_LIB_1,2025-10-06T17:49:18.204Z,E100578,-39,910
DHeB7DcBFaAae3,AP_LAB_1,2025-10-08T18:29:18.204Z,E100180,-71,2703
DHcc11De4bBCB7,AP_CAF_1,2025-10-17T08:25:19.204Z,E100039,-77,4077
DHe0aB12f5eCE4,AP_LIB_3,2025-10-21T12:48:25.204Z,E100868,-67,6093
DHaA7c0D16d1b6,AP_CC_1,2025-09-27T03:27:52.204Z,E100938,-64,4091
DHbA9829a7Fcea,AP_GYM_1,2025-10-11T18:07:35.205Z,E100611,-68,6696
DH27E26447C13d,AP_LAB_1,2025-10-17T17:43:11.205Z,E100418,-60,5603
DHebafd2d4b6cd,AP_GYM_1,2025-10-08T05:50:56.205Z,E100994,-52,2482
DHbf33a2eEC83e,AP_LIB_2,2025-10-14T04:44:32.205Z,E100066,-57,4892
DH147C44fd2C0A,AP_LIB_1,2025-09-25T18:22:31.205Z,E100702,-65,5656
DH2950CCE6b332,AP_LIB_2,2025-10-06T13:17:10.205Z,E100311,-53,2867
DH98EEb9aBD093,AP_LIB_1,2025-09-28T16:14:17.205Z,E100289,-53,4230
DH35A79bd92ac3,AP_LAB_1,2025-10-02T13:31:45.205Z,E100077,-43,2200
DHba120c7A8261,AP_GYM_1,2025-10-07T07:39:40.205Z,E100616,-67,6096
DH98E15E7Bf81d,AP_GYM_1,2025-10-01T07:30:04.205Z,E100840,-59,1747
DH5aB26Ca0E2Ee,AP_AC_2,2025-09-25T04:10:24.205Z,E100041,-38,1780
DH6f7c856979aB,AP_CAF_2,2025-10-24T06:36:14.205Z,E100201,-36,2781
DHfc3840BDA17c,AP_LAB_1,2025-10-11T05:37:09.205Z,E100123,-78,2664
DHB7df5FDEec75,AP_LIB_3,2025-10-10T12:57:12.205Z,E100156,-41,6659
DH65c712DB96DF,AP_AC_2,2025-09-27T13:34:22.205Z,E100361,-41,7075
DH8F6E3546FD99,AP_AC_1,2025-10-21T10:21:17.205Z,E100035,-38,2641
DHC343305E1deE,AP_GYM_1,2025-10-11T11:35:39.205Z,E100424,-57,6800
DHB5FaF3c336DF,AP_GYM_1,2025-10-08T08:18:13.205Z,E100877,-49,6635
DH2e36FD82a5A9,AP_CAF_1,2025-10-16T05:23:23.205Z,E100463,-57,6652
DHBEAdCe2fde02,AP_CC_1,2025-10-04T15:06:15.205Z,E100780,-66,1063
DHfDC0DaCbEdF1,AP_GYM_1,2025-10-19T10:36:23.205Z,E100002,-45,2522
DH6114328f7bB0,AP_CC_1,2025-10-05T12:13:38.205Z,E100697,-52,6485
DHeCf2B8aFb70f,AP_LAB_1,2025-10-24T15:11:45.205Z,E100823,-59,3985
DHBeb8eE4332C8,AP_LIB_1,2025-10-14T06:08:05.205Z,E100362,-62,1301
DHB03cEDfeDE6e,AP_CC_1,2025-10-17T07:49:17.205Z,E100472,-63,4985
DH75c4D308Ce0D,AP_CAF_1,2025-09-29T09:09:44.205Z,E100955,-75,4799
DHbfda3cF5fDbB,AP_LAB_1,2025-10-21T07:35:21.205Z,E100644,-54,3998
DH82d7d3FFB372,AP_AC_2,2025-10-08T10:13:50.205Z,E100075,-34,4279
DH96FBCa738d61,AP_AC_2,2025-10-04T09:45:26.205Z,E100192,-35,1803
DH414Fe9879E2F,AP_CC_1,2025-09-29T15:48:24.205Z,E100409,-80,4536
DHD940EeDD9d86,AP_AC_1,2025-10-15T05:07:54.205Z,E100175,-80,902
DHf5FB3D1858e5,AP_LAB_2,2025-09-30T08:51:37.205Z,E100226,-66,5068
DH14E66d5f4aC0,AP_LAB_1,2025-10-06T16:19:33.205Z,E100467,-71,777
DHc96EBE8Cf24a,AP_LAB_1,2025-10-20T11:42:41.205Z,E100617,-56,7132
DH65608DDABADC,AP_GYM_1,2025-10-13T11:43:12.205Z,E100952,-41,1689
DH0Dc824Cf0800,AP_LAB_2,2025-10-20T18:25:10.205Z,E100890,-30,6709
DH6726D4B9bc8f,AP_LAB_1,2025-10-17T22:30:41.205Z,E100860,-33,615
DHfd93FB5C4cfE,AP_GYM_1,2025-10-19T21:56:59.205Z,E100756,-35,6085
DHe4D557fEff6D,AP_AC_1,2025-10-24T05:53:05.205Z,E100951,-80,5964
DH4BE3cbdBef3e,AP_LIB_3,2025-09-27T17:14:15.205Z,E100982,-37,5155
DHbb8cd4f00A71,AP_CC_1,2025-10-12T17:59:56.205Z,E100945,-77,4106
DH448b7d18fA6d,AP_GYM_1,2025-09-27T23:50:12.205Z,E100832,-37,6724
DHeB7DcBFaAae3,AP_LIB_1,2025-09-28T07:17:56.205Z,E100180,-34,2192
DH2cb5A0bF3c1a,AP_LIB_3,2025-10-13T03:46:40.205Z,E100431,-73,1382
DHDA6Af3Fdb038,AP_GYM_1,2025-10-24T08:28:24.205Z,E100803,-77,602
DH7D65feF25B9A,AP_LAB_2,2025-10-17T09:26:30.205Z,E100815,-77,1046
DHE9C3aeFaB5D4,AP_CAF_1,2025-10-15T09:01:57.205Z,E100420,-43,2724
DHd85A03FB6044,AP_CAF_1,2025-10-13T07:27:19.205Z,E100762,-44,598
DHdBC0A3CF71cf,AP_GYM_1,2025-10-07T05:15:07.205Z,E100675,-54,2324
DH5Ef41B313b7d,AP_CAF_1,2025-10-13T16:29:34.205Z,E100598,-73,2688
DHBacdf30D7Be0,AP_CC_1,2025-10-20T03:49:54.205Z,E100864,-72,3121
DH584791136f64,AP_GYM_1,2025-10-16T08:07:36.205Z,E100592,-43,6205
DH30D72Cca9bfE,AP_AC_1,2025-10-24T14:33:46.205Z,E100342,-69,3594
DHeF58b488BF91,AP_CAF_1,2025-10-24T01:50:07.205Z,E100185,-52,3723
DH0AfBC38653c9,AP_LAB_1,2025-10-21T14:48:12.205Z,E100690,-58,4453
DH1fAfe37fFdFA,AP_AC_1,2025-10-21T11:21:11.205Z,E100318,-64,574
DHdaeCcaA77f42,AP_LIB_1,2025-09-26T06:24:38.205Z,E100533,-77,4257
DH8C0bB14FD761,AP_CAF_1,2025-10-19T14:54:38.205Z,E100898,-79,2499
DHCcaE9B6DA90C,AP_AC_2,2025-09-27T07:18:32.205Z,E100230,-40,6761
DHaD158EA8bce0,AP_AC_1,2025-10-23T04:48:47.205Z,E100275,-33,2263
DH5eCbC36B4150,AP_CAF_1,2025-10-01T06:55:25.205Z,E100566,-40,5998
DHb6C2F166e7AE,AP_GYM_1,2025-10-19T06:09:54.205Z,E100106,-76,7107
DHACd7eEedEbb2,AP_AC_1,2025-10-21T05:22:50.205Z,E100373,-45,6274
DHcE70950ca5ba,AP_AC_2,2025-10-02T17:06:01.205Z,E100371,-69,6892
DHDE1ad7eeED4F,AP_AC_1,2025-09-29T10:27:16.205Z,E100666,-57,6098
DH35568B4EC6FC,AP_LIB_2,2025-10-09T03:42:30.205Z,E100525,-65,4639
DHD23CaCe5A6b3,AP_LIB_1,2025-10-17T15:10:11.205Z,E100570,-65,1182
DHbDC0aea83FA2,AP_CAF_2,2025-10-16T03:10:03.205Z,E100978,-79,2838
DH562fBdfbe1Ef,AP_CAF_2,2025-09-27T01:20:52.205Z,E100516,-36,5096
DH5c5536A05921,AP_CAF_1,2025-10-12T16:15:30.205Z,E100015,-30,4216
DH7DE42eacfbAf,AP_LIB_2,2025-10-23T04:56:11.205Z,E100168,-35,4390
DHcE1F12DF05d4,AP_CAF_2,2025-10-04T08:52:43.205Z,E100034,-77,2747
DH0e1FaAed7DaC,AP_LIB_3,2025-10-05T12:16:29.205Z,E100969,-31,2149
DHe0434Cbaee74,AP_LAB_1,2025-10-17T03:23:37.205Z,E100287,-49,4746
DH2A3f338f2483,AP_CC_1,2025-10-13T04:24:04.205Z,E100057,-61,3368
DH5fc5329377fa,AP_GYM_1,2025-10-10T09:34:50.205Z,E100910,-42,6474
DH5A12d2859eA7,AP_CAF_2,2025-10-10T16:09:17.205Z,E100090,-32,4685
DH2CF1BE537f5A,AP_CC_2,2025-10-09T17:14:32.205Z,E100948,-46,1274
DH1Affce0BCd7C,AP_LIB_1,2025-10-22T17:49:58.205Z,E100696,-48,2490
DHa6Bc7d4022C8,AP_LIB_1,2025-10-22T19:26:08.205Z,E100665,-48,5109
DHbBe7aa963c8f,AP_CC_2,2025-10-13T16:04:55.205Z,E100844,-77,1611
DH044D43B6cDcB,AP_LIB_2,2025-10-20T19:27:07.205Z,E100155,-70,3601
DH6ebCAF71Ebbd,AP_AC_1,2025-10-15T06:46:53.205Z,E100968,-37,4789
DH77d59dBe5b16,AP_AC_1,2025-10-06T03:40:00.205Z,E100875,-46,3414
DH2A0f9CE3507A,AP_GYM_1,2025-09-26T14:30:45.205Z,E100259,-69,1630
DH80aA0B430BF4,AP_LIB_2,2025-09-26T11:41:24.205Z,E100404,-54,3736
DH9192E6A3CDE7,AP_GYM_1,2025-10-07T04:02:48.205Z,E100104,-37,2577
DH50bc52eA4DB4,AP_CAF_1,2025-10-12T04:28:23.205Z,E100333,-69,3251
DHB7C6079986aE,AP_CC_2,2025-10-21T14:32:42.205Z,E100538,-79,5407
DHef4F8416C184,AP_CC_1,2025-10-06T17:09:00.205Z,E100179,-79,2057
DHbBe7aa963c8f,AP_LIB_3,2025-10-09T15:35:16.205Z,E100844,-53,6705
DH4bFF4C4f8A20,AP_CAF_2,2025-10-03T07:11:03.205Z,E100357,-68,3445
DHD1e42dFA3A27,AP_AC_2,2025-10-19T12:50:00.205Z,E100246,-62,3096
DH01eE7fE7CB86,AP_LAB_2,2025-09-28T05:53:27.205Z,E100759,-33,3601
DHeaEa80Ce74d3,AP_GYM_1,2025-10-07T04:54:14.205Z,E100133,-54,6668
DHDB9DEAccdE9b,AP_GYM_1,2025-09-26T15:06:46.205Z,E100713,-55,3656
DH2F870eDfcced,AP_LAB_2,2025-10-17T04:05:53.205Z,E100988,-63,4595
DH80624fD6bd8c,AP_LAB_2,2025-10-03T04:28:36.205Z,E100427,-38,6935
DHe0647F63f46B,AP_GYM_1,2025-09-26T11:51:30.205Z,E100421,-69,3981
DHc3f1DF96767E,AP_CC_1,2025-10-05T11:42:49.205Z,E100649,-37,1913
DH82db9Cb174d4,AP_CAF_1,2025-10-08T12:18:07.205Z,E100460,-59,1817
DHC9B0cc81cCBb,AP_LAB_1,2025-10-06T10:25:26.205Z,E100444,-69,2300
DHe1Ea103a4Fad,AP_LAB_2,2025-10-23T04:51:55.205Z,E100876,-67,5999
DHfaFfcE49A191,AP_CAF_2,2025-09-26T03:28:10.205Z,E100686,-37,595
DHD940EeDD9d86,AP_CC_2,2025-10-03T15:13:37.205Z,E100175,-72,1138
DH2f3862AD7e8E,AP_CAF_1,2025-10-14T14:30:37.205Z,E100967,-35,6423
DHb63Cce0aAeEE,AP_GYM_1,2025-10-07T14:33:40.205Z,E100428,-63,6035
DHDceeedADB2dd,AP_CC_1,2025-09-27T18:28:18.205Z,E100738,-56,1427
DH9E06dEf46fA7,AP_CAF_1,2025-10-19T05:29:34.205Z,E100678,-76,488
DH448b7d18fA6d,AP_LIB_1,2025-10-19T11:37:12.205Z,E100832,-68,2798
DH558B7E904404,AP_LAB_2,2025-10-15T06:52:38.205Z,E100921,-36,2690
DH5Ad9aadF1fD3,AP_CC_1,2025-10-23T15:11:02.205Z,E100255,-80,2083
DH63Df28D7eBe1,AP_CC_1,2025-09-28T21:28:15.205Z,E100869,-31,4283
DHCB3ccBCcaBe7,AP_LIB_3,2025-10-21T15:16:50.205Z,E100606,-38,1460
DHcDE4ade67b0A,AP_LAB_1,2025-10-15T02:45:04.205Z,E100316,-78,6661
DHccDeC0bDc36F,AP_LIB_2,2025-10-12T07:28:31.205Z,E100262,-51,985
DHc118dcd9C7FD,AP_LIB_3,2025-10-14T10:11:20.205Z,E100751,-45,4060
DHebafd2d4b6cd,AP_LIB_3,2025-10-22T17:16:11.205Z,E100994,-39,3208
DHAEEbF1A3821F,AP_AC_2,2025-09-30T04:12:09.205Z,E100437,-36,2420
DH63d8A2fCCaf2,AP_LIB_3,2025-09-28T14:55:04.205Z,E100784,-53,3252
DH76A6f50Ddc99,AP_AC_2,2025-10-10T15:54:37.205Z,E100642,-60,585
DHA3dAdcD8b5c5,AP_LIB_1,2025-10-02T06:54:54.205Z,E100953,-45,1729
DHeB8CB99F6BB8,AP_AC_2,2025-10-15T16:19:49.205Z,E100959,-38,5200
